Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
26	0	-415.3128	-299.7198	-115.593	16.32216	7.082149	0.04473135	0.08608682	0.0471189	0.1306	0.0024946	0.106243	0.0030198	0.00224743	0.0907471	0.0317986	0.206525	0.000496798	0.203371	0.0534203	0.0340841	0.0661117	0.021721	0.3263411	6	22.22965	0.0773113	0.570767	0.841303	1.07876	1.50917	0.216493	0.372334	0.0991633	0.127826	0.0909207	0.0932635	0.4124279	0.7912682
27	0	-409.0371	-302.7278	-106.3094	13.73729	1.699459	0.03253934	0.02003747	0.0263912	0.215514	0.0298797	0.0455956	0.000606831	0.00685242	0.136336	0.0467314	0.0924905	0.0156974	0.222706	0.0115581	0.0760661	0.0701117	0.0034623	0.447945	5	19.81282	0.08648608	0.254556	0.618708	1.06027	2.06647	0.19918	0.260891	0.0999058	0.130243	0.153413	0.156367	0.4679825	0.9571833
28	0	-409.8906	-304.2419	-105.6487	13.00606	2.749524	0.06437781	-0.03835526	0.0196858	0.249902	0.00912237	0.043595	0.00559075	0.00836012	0.0817117	0.00567934	0.16564	0.0170248	0.129807	0.0766718	0.0714912	0.0654685	0.0502493	0.4360036	7	17.8762	0.1026966	0.368906	0.716644	1.08096	1.83349	0.203039	0.312399	0.126744	0.0795045	0.188685	0.089629	0.3976483	1.096455
29	0	-403.317	-305.4672	-97.84975	11.15168	2.220413	0.09944138	0.07518275	0.0480025	0.144551	0.000858998	0.0459531	0.0548919	0.000984245	0.0923434	0.00589968	0.135245	0.0033714	0.162144	0.0201495	0.0820819	0.170526	0.0329975	0.3699714	6	13.08523	0.1066061	0.318238	0.676576	1.07464	1.93055	0.21765	0.386335	0.0836334	0.107294	0.140243	0.0648451	0.4451542	0.8311085
30	0	-405.6715	-303.5094	-102.1621	13.36407	1.508802	0.05564843	0.08684556	0.0586247	0.189097	0.070704	0.02287	0.00252609	0.00357869	0.112251	0.0232315	0.0865928	0.0272348	0.0596268	0.0193205	0.0967742	0.212341	0.0152266	0.337391	6	15.11612	0.08554221	0.226679	0.590015	1.05093	2.13237	0.134017	0.256331	0.126252	0.0946059	0.218383	0.170411	0.4242366	0.7952898
31	0	-419.0281	-308.5001	-110.528	13.03222	1.248643	0.0507927	-0.1125193	0.0492188	0.17738	0.00552942	0.0592206	0.00269202	0.00673187	0.165132	0.00259599	0.101096	0.0327062	0.109868	0.0541558	0.0831476	0.10206	0.0484652	0.7644499	8	16.83653	0.04895732	0.183757	0.540564	1.03148	2.2442	0.190401	0.225579	0.143157	0.0842475	0.244792	0.111824	0.6519307	1.172594
32	0	-414.2286	-305.2873	-108.9413	11.82583	2.217073	0.03725904	0.00652581	0.0789595	0.133842	0.00524169	0.0289963	0.00882317	0.0132917	0.0670637	0.0360824	0.19628	0.0440719	0.105776	0.0174894	0.0237152	0.232107	0.00825989	0.5049371	6	11.91729	0.1711733	0.317879	0.676275	1.07458	1.93127	0.179168	0.270987	0.126312	0.076873	0.273912	0.0727481	0.5114629	0.9872409
33	0	-413.9537	-314.6644	-99.28928	11.73638	1.705696	0.05317719	0.1288249	0.0131612	0.0691164	0.0590368	0.00481923	0.00707712	0.0191798	0.272049	0.0212507	0.202913	0.0112687	0.188425	0.0181914	0.019338	0.0694127	0.0247606	0.7110222	7	13.29619	0.0811743	0.255422	0.619562	1.06052	2.0645	0.36684	0.21601	0.0806279	0.10378	0.168172	0.0645687	0.8398471	0.8466092
34	0	-412.7715	-315.282	-97.48944	8.839645	2.429244	0.05127837	0.01559234	0.0550836	0.0860923	0.0684931	0.0317722	0.0133383	0.0108858	0.0836148	0.0195186	0.263949	0.023159	0.105886	0.0161779	0.0829067	0.088494	0.0506294	0.5121954	9	17.06164	0.1560616	0.339644	0.694067	1.07778	1.88851	0.182584	0.272365	0.183778	0.114072	0.160975	0.0862268	0.5277878	0.9704572
35	0	-401.2173	-303.706	-97.51127	10.77671	2.024892	0.04972117	0.1517826	0.0430576	0.135457	0.0234255	0.0176184	0.00352717	0.00307852	0.220349	0.0123388	0.185332	0.0212707	0.227351	0.00287207	0.0463042	0.0236497	0.0343683	0.5153505	6	12.57005	0.1926482	0.296228	0.657635	1.0706	1.97554	0.190526	0.290549	0.147543	0.0635592	0.194873	0.11295	0.6671331	0.7724853
