Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
2600	-257.0822	-252.3585	-4.723778	2.302065	0.1212477	0.1402255	0.0142576	0.0740449	0.134618	0.0153856	0.0239747	0.00697446	0.0186829	0.00700456	0.178772	0.0208585	0.00534995	0.142495	0.219912	0.0847502	0.05292	0.0002498827	13.75572	0.32685	0.683718	1.07599	1.91344	0.212012	0.315759	0.165407	0.035557	0.122184	0.14908	0.1404754	0.001778836
2700	-258.2213	-251.9739	-6.24739	0.7943732	0.1184308	0.06656047	0.019441	0.173955	0.0398814	0.0723551	0.0126998	0.0991496	0.0295248	0.0878219	0.0555022	0.0314759	0.053974	0.0844946	0.130745	0.0983935	0.0105869	0.02952311	24.57859	0.0943608	0.404859	0.955384	2.5454	0.192743	0.231862	0.156951	0.134352	0.126631	0.157461	0.09608358	0.3072649
2800	-291.1208	-268.7688	-22.35194	2.425815	0.007717022	0.00330695	0.0331429	0.0333153	0.0710321	0.0830338	0.056114	0.042908	0.0405513	0.217963	0.0341765	0.0292013	0.150651	0.0118868	0.105425	0.0713891	0.0192102	0.0022899	238.6633	0.339308	0.693799	1.07773	1.88916	0.139683	0.141482	0.181269	0.149499	0.152748	0.235319	0.00559685	0.4091409
2900	-271.622	-251.126	-20.49605	2.32213	0.01903317	0.00214113	0.0171674	0.0165454	0.187588	0.012596	0.0456291	0.0358243	0.123838	0.0247625	0.0342889	0.126552	0.00977735	0.173419	0.150062	0.002598	0.0393522	0.02079948	178.5772	0.328917	0.685411	1.0763	1.90938	0.307822	0.150082	0.184901	0.0805049	0.142191	0.134498	0.02294061	0.9066664
3000	-259.6423	-250.9956	-8.64669	4.060495	0.1060861	0.1673093	0.00191206	0.161637	0.0663542	0.0306761	0.0125377	0.0262658	0.0685526	0.0219871	0.0474721	0.0332855	0.0168614	0.0702123	0.251614	0.176072	0.0145596	0.03527565	11.85274	0.457655	0.777275	1.08439	1.68068	0.205248	0.206247	0.151323	0.114282	0.19823	0.124671	0.202585	0.1741277
3100	-257.8555	-248.4111	-9.444458	1.567387	0.06283928	0.0237957	0.0413331	0.11112	0.0955236	0.0705055	0.0449587	0.106982	0.0657037	0.00471546	0.07339	0.0798556	0.0862254	0.0108155	0.140187	0.0471164	0.0215681	0.01286724	37.56319	0.235547	0.599402	1.05415	2.11091	0.191994	0.298376	0.108503	0.0906442	0.190306	0.120176	0.03666294	0.3509603
3200	-259.8491	-253.8203	-6.028766	2.073695	0.07201556	0.07114346	0.0343439	0.148625	0.0182471	0.0464136	0.0393426	0.0899853	0.112998	0.0490451	0.083288	0.0618891	0.0191433	0.0615917	0.0817752	0.103905	0.0494074	0.0104249	20.1272	0.301916	0.662628	1.07173	1.96373	0.237616	0.231168	0.0460334	0.120873	0.189746	0.174563	0.08156835	0.1278057
3300	-261.349	-251.5282	-9.820809	2.213811	0.1551115	0.02311982	0.0301995	0.100571	0.0616962	0.0426512	0.0339772	0.072359	0.0763348	0.003785	0.0190857	0.0862455	0.122353	0.0150191	0.251868	0.0563488	0.0275066	0.04872334	31.97186	0.317528	0.675981	1.07452	1.93197	0.3057	0.2993	0.0792107	0.0981591	0.151744	0.0658863	0.07184316	0.6781904
3400	-260.239	-254.579	-5.660017	1.736758	0.1386927	0.04953638	0.0945368	0.0263706	0.149521	0.165253	0.0483796	0.0463884	0.0925944	0.0423049	0.00829802	0.0744511	0.0274256	0.0725772	0.107005	0.00871429	0.0361797	9.910377e-05	20.87286	0.259691	0.623744	1.06175	2.05481	0.218899	0.201414	0.118168	0.0798159	0.203666	0.178038	0.04963549	0.001996631
3500	-262.6698	-248.3763	-14.29354	2.715874	0.02942675	0.01699086	0.0325006	0.156855	0.103618	0.0182531	0.0095937	0.00923885	0.0531334	0.00797695	0.0580612	0.0272571	0.0759913	0.0228439	0.313284	0.0889576	0.0224353	0.003087479	67.12193	0.366013	0.714475	1.0807	1.83881	0.261548	0.206386	0.127516	0.122343	0.156837	0.12537	0.02007834	0.1537716
3600	-268.0776	-255.8736	-12.20394	1.301267	0.08151324	0.01457336	0.0552986	0.0137629	0.309806	0.0753071	0.0203584	0.0998573	8.55e-05	0.0600861	0.059052	0.014416	0.0184335	0.126106	0.0491327	0.0558073	0.0424907	0.03300018	41.46862	0.192927	0.551748	1.03626	2.21907	0.258482	0.15577	0.14804	0.150189	0.156134	0.131385	0.04757354	0.6936668
3700	-269.0347	-245.6694	-23.36535	5.596736	0.0124375	0.00456947	0.0123816	0.18365	0.0806113	0.0162758	0.0242874	0.0117082	0.0566136	0.0151034	0.147866	0.118056	0.0765748	0.0344319	0.142559	0.0698229	0.0100584	0.0005741555	124.4011	0.525121	0.816986	1.08214	1.57576	0.234221	0.345042	0.0759985	0.0637394	0.169496	0.111503	0.005143625	0.1116247
3800	-269.9172	-249.1256	-20.79163	1.220819	0.01043387	0.006132372	0.0417653	0.231595	0.103932	0.00571679	0.0329549	0.0403003	0.0198176	4.07137e-06	0.0597215	0.0510512	0.173718	0.00512193	0.145799	0.0829826	0.00551954	0.001410645	267.4385	0.178806	0.534367	1.02874	2.25808	0.241462	0.208151	0.139046	0.0639274	0.201741	0.145672	0.007543017	0.1870133
3900	-260.5353	-251.169	-9.366305	0.9430712	0.06422381	0.02865128	0.063319	0.281048	0.111709	0.0435113	0.0619425	0.0863625	0.0449085	0.0211176	0.042458	0.0249647	0.0831	0.00187742	0.0672974	0.0650217	0.0013628	0.008604453	48.57281	0.12546	0.458945	0.989887	2.42571	0.252211	0.22255	0.133952	0.0877684	0.206804	0.0967145	0.03725574	0.2309565
4000	-249.107	-244.605	-4.501919	1.948955	0.1295711	0.06768516	0.0123185	0.235484	0.0605648	0.00431106	0.0177169	0.0392028	0.0149609	0.0399967	0.0798125	0.0131488	0.177031	0.0367468	0.198577	0.051208	0.0189207	0.01138785	14.66563	0.287104	0.649474	1.06866	1.99476	0.268282	0.255721	0.0963164	0.110977	0.144825	0.123878	0.079073	0.1440169
4100	-267.9503	-261.0813	-6.869018	0.7197697	0.1314957	0.08692674	0.107994	0.131249	0.0404661	0.148507	0.0113241	0.0545387	0.00161037	0.0168066	0.0328688	0.078412	0.0152853	0.0115607	0.294023	0.0243007	0.031053	0.04313386	18.96602	0.0784151	0.372711	0.93198	2.61689	0.234193	0.186829	0.0897283	0.156526	0.0656381	0.267085	0.1300606	0.3316443
4200	-268.1925	-252.4562	-15.73637	5.194273	0.04501372	0.006672985	0.0221372	0.0276769	0.0286712	0.018293	0.0147141	0.025104	0.021206	0.0249021	0.0699665	0.0237369	0.0136786	0.377509	0.207228	0.0480292	0.0771481	0.06483488	39.76983	0.509952	0.808471	1.08295	1.59863	0.237354	0.177373	0.114533	0.0903037	0.225376	0.155061	0.07150787	0.9066818
4300	-263.1352	-250.7764	-12.35887	4.972703	0.1174881	-0.02549587	0.0159119	0.0836367	0.180077	0.00693385	0.00537465	0.0232135	0.0713982	0.163982	0.00825989	0.096036	0.00623218	0.00532426	0.227284	0.0120549	0.0942812	0.1043602	16.01599	0.50094	0.803303	1.08335	1.61241	0.215844	0.270877	0.133316	0.0916329	0.187442	0.100888	0.07886433	1.323288
