Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
2000	-317.9441	-296.5663	-21.37772	7.932701	0.602996	0.138728	0.0261912	0.0184311	0.109201	0.583856	0.124971	0.046395	0.0963063	0.188025	0.0237082	0.0825158	0.273233	0.0251147	0.528405	0.157609	0.00993697	0.017996	0.00126095	0.0119574	0.176147	0.172938	0.15143	0.1849165	0.06025538	0.0102256	0.0695271	0.0502929	0.008337	0.00455034	0.048685	0.144803	0.00278878	0.0997492	0.0625305	0.263801	0.0387464	0.0783671	0.0553498	0.0622458	0.1899291	2	9.101331	0.03799561	0.0537266	0.313933	0.88284	2.7495	0.272317	0.275541	0.115016	0.0629973	0.209109	0.0650204	0.2501845	0.7591562
2100	-316.6768	-283.1133	-33.56355	9.415844	1.224182	0.115867	0.28993	0.150069	0.177377	0.22973	0.262059	0.0404674	0.897886	0.113862	0.0697912	0.193437	0.0836817	0.228027	0.0845166	0.290348	0.108675	0.0587514	0.740016	0.016436	0.382954	0.507665	0.286829	0.2756686	-0.06333819	0.0308283	0.134881	0.0215673	0.046905	0.00963884	0.00310669	0.0683005	0.0238961	0.0932994	0.0281064	0.157048	0.0214617	0.10722	0.248749	0.00499237	0.4333565	1	10.07311	0.03324137	0.179408	0.535127	1.02908	2.25638	0.215556	0.219857	0.152041	0.120504	0.187796	0.104246	0.3700183	1.171176
2200	-315.5877	-281.0117	-34.57597	6.983764	1.454584	0.137553	0.293358	0.836334	0.303071	0.0719951	0.366655	0.0601593	0.174579	0.0385495	0.0161708	0.263015	0.243932	0.423684	0.0566416	0.510537	0.412499	0.359299	0.523147	0.0266874	0.227134	0.197128	0.439203	0.2266795	0.005094771	0.068566	0.128913	0.0115677	0.0876329	0.00750323	0.00935821	0.165294	0.0029257	0.159862	0.0318566	0.14309	0.0369662	0.08521	0.0442102	0.0170436	0.5095647	2	10.70427	0.07237785	0.218221	0.580818	1.04764	2.15332	0.175701	0.315932	0.129304	0.0943433	0.216371	0.0683487	0.5146595	0.9901007
2300	-311.5997	-280.8979	-30.70178	7.213673	2.991934	0.147277	0.293569	0.0184058	0.0914997	0.579028	0.805324	0.0754765	0.138874	0.00182387	0.00718151	0.041836	0.0419342	0.395783	0.436371	0.259447	0.0863853	0.217353	1.15372	0.661127	0.150193	0.3911	0.0513117	0.2081547	-0.0486121	0.0450793	0.101252	0.0431312	0.0970661	0.00144076	0.0241865	0.16813	0.0221169	0.0752905	0.023178	0.211977	0.0184906	0.0264161	0.110116	0.0321274	0.3354977	1	8.314728	0.1760832	0.388637	0.73108	1.08248	1.79781	0.203414	0.370913	0.0951323	0.0756519	0.163784	0.0911048	0.2868856	1.169448
2400	-301.3653	-280.612	-20.7533	12.07713	2.300324	0.0412584	0.0726535	0.00650838	0.0152329	0.178266	0.309413	0.0159699	0.133354	0.0390996	0.00556423	0.0626349	0.151761	0.10433	0.00229583	0.170336	0.224549	0.0993515	0.0518403	0.0651654	0.094376	0.236047	0.0482957	0.1568718	0.01515458	0.0163368	0.0891202	0.0335714	0.0304153	0.00294698	0.0132216	0.100474	0.00990627	0.0877443	0.0823161	0.292785	0.139878	0.0561019	0.0360006	0.0091814	0.3110006	0	15.73464	0.07965358	0.32667	0.68357	1.07596	1.9138	0.152879	0.447653	0.110566	0.0738172	0.141755	0.0733298	0.3261552	0.9535357
2500	-318.6146	-281.4926	-37.12196	7.198195	1.410323	0.0782013	0.0258197	0.0889662	0.158388	0.802136	0.744943	0.0277973	0.56384	0.0665151	0.0792787	0.419927	0.0968463	0.20804	0.600302	0.311127	0.232527	0.0854956	0.548298	0.49212	0.0466428	0.0800629	0.53793	0.1960887	0.1076004	0.00956514	0.0622511	0.00202219	0.070461	0.0224118	0.000681382	0.151084	0.00518271	0.127333	0.0573601	0.19761	0.0344799	0.0176854	0.226196	0.015676	0.3200379	2	10.82257	0.222076	0.211131	0.572916	1.04469	2.17126	0.164479	0.440191	0.0761497	0.0946986	0.150778	0.0737038	0.4276384	0.7483845
2600	-333.8796	-294.7264	-39.15321	8.259463	1.932354	0.158569	0.13721	1.45177	0.0250969	0.691062	0.810028	0.0547962	0.144953	0.495871	0.472982	0.916728	0.531044	0.0530984	0.109499	0.315117	0.575808	0.219824	0.0047472	0.582783	0.122441	0.238974	0.301699	0.3823267	0.1147796	0.038503	0.0761532	0.0279564	0.0370483	0.00185516	0.0168996	0.0585783	0.0105958	0.171412	0.0255356	0.206501	0.0907237	0.0617769	0.15207	0.0243913	0.266752	3	8.925641	0.1206158	0.285064	0.647622	1.0682	1.99911	0.248148	0.292454	0.0602354	0.104388	0.189725	0.10505	0.3815315	0.699161
2700	-303.8962	-279.1468	-24.74945	8.73752	1.301163	0.109086	0.645209	0.113254	0.0136464	0.0928896	0.326871	0.00150638	0.405393	0.080685	0.0171879	0.0583729	0.159598	0.192466	0.418646	0.0781906	0.19247	0.0120507	0.193453	0.0402219	0.0507631	0.186258	0.0973393	0.1553465	-0.006887223	0.0290808	0.175577	0.00106588	0.0540875	0.00764423	0.000421155	0.185124	0.00360289	0.125684	0.0335318	0.123426	0.0773663	0.082494	0.0295958	0.0712993	0.2849217	0	11.09459	0.1630134	0.192909	0.551727	1.03625	2.21912	0.284771	0.317036	0.0879109	0.0976527	0.0981094	0.114519	0.2780345	1.024771
2800	-314.7809	-282.7786	-32.00234	7.140321	1.614938	0.0389738	0.206585	0.305417	0.114962	0.376508	0.97243	0.0310154	0.0853829	0.201151	0.123364	0.121485	0.0612662	0.234189	0.193428	0.130256	0.290073	0.192381	0.501001	1.391	0.207506	0.364403	0.53774	0.2736109	0.01628127	0.0212031	0.36118	0.00214234	0.0358619	0.00143551	0.0185036	0.187753	0.00306669	0.0299988	0.0121266	0.110186	0.00217671	0.0392649	0.158476	0.0166236	0.229832	2	13.75709	0.143577	0.242544	0.606633	1.05651	2.09431	0.217954	0.262616	0.100628	0.0479415	0.251211	0.11965	0.2461132	0.9338464
2900	-315.5056	-282.3899	-33.11568	3.667591	4.782325	0.145783	1.0262	0.389028	0.00217816	0.254331	0.503229	0.08134	0.564104	0.0390953	0.02019	0.0487908	0.321314	0.168287	1.23135	1.01345	0.219549	0.173601	0.548097	0.161659	0.58975	0.511762	0.125848	0.3788203	0.3065927	0.0186578	0.172481	0.00703151	0.0524151	0.00631368	0.0169498	0.185004	0.00152812	0.0851475	0.087691	0.181644	0.0372261	0.0625211	0.0271724	0.0582172	0.1945289	4	4.430847	0.3136887	0.492778	0.798551	1.08366	1.62501	0.18278	0.284079	0.0933941	0.138305	0.178115	0.123326	0.5011216	0.3881871
