Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
20	0	-242.3687	-231.0407	-11.32799	2.981408	0.1071341	0.01646943	0.00141746	0.0557985	0.0250207	0.109384	0.0450604	0.0022247	0.031463	1.47209e-05	0.380713	0.038074	0.00102393	0.00696633	0.252957	0.00371955	0.0461623	0.0008033852	129.0378	0.387818	0.730493	1.08242	1.79927	0.116917	0.129762	0.277696	0.0406929	0.387852	0.0470796	0.01727281	0.04651154
21	0	-250.8355	-232.8478	-17.98772	1.241769	0.1436109	-0.01229527	0.0768578	0.0205013	0.140118	0.207227	0.0182503	0.0017471	0.0420396	0.00215207	0.224439	0.0380014	0.0288436	0.0295932	0.0982295	0.0163825	0.0556174	0.1363093	151.6535	0.182541	0.539052	1.03082	2.24759	0.13658	0.0936685	0.272098	0.0619951	0.281475	0.154184	0.124014	1.099144
22	0	-238.2627	-234.5626	-3.700135	3.451934	0.412314	0.05473878	0.0193734	0.12781	0.12571	0.135638	0.0417226	0.000542084	0.0231298	0.00702293	0.118462	0.0178043	0.191605	0.000291185	0.124571	0.0377453	0.0285725	0.05822323	13.20197	0.421461	0.753833	1.08399	1.74072	0.157166	0.206265	0.10178	0.045436	0.321081	0.168272	0.112962	0.5154231
23	0	-244.5413	-234.9926	-9.548613	1.890773	0.0687814	0.01957711	0.0126886	0.0801993	0.0192243	0.256136	0.0159309	0.0403909	0.0447959	0.00469578	0.247497	0.0273563	0.0431134	0.00679387	0.111564	0.0374957	0.0521171	0.02127176	90.19299	0.279878	0.642872	1.067	2.01025	0.100027	0.109583	0.258402	0.095345	0.311658	0.124984	0.04084887	0.5207429
24	0	-242.2137	-237.3224	-4.89132	3.366668	0.1810422	0.05910792	0.00657945	0.238451	0.146769	0.125914	0.00874601	0.00679792	0.0587833	0.00714014	0.0932393	0.00156457	0.0407622	0.00737635	0.203207	0.0148781	0.0397913	0.00694699	36.18887	0.415779	0.750001	1.08381	1.75041	0.149972	0.143604	0.162227	0.107218	0.331363	0.105617	0.06605491	0.1051699
25	0	-241.4328	-232.8494	-8.583464	5.844559	0.409933	0.1258889	0.0248076	0.0664326	0.237669	0.197382	0.0272319	0.00212038	0.0425783	0.0048621	0.140004	0.0742931	0.021585	0.00750234	0.00684408	0.111027	0.0356596	0.01982956	20.18893	0.533776	0.821744	1.0816	1.56288	0.197346	0.124245	0.307304	0.0373017	0.284466	0.0493376	0.1457185	0.1360812
26	0	-244.7531	-231.3747	-13.37848	2.975611	0.1751645	0.04153495	0.00061756	0.00592361	0.161284	0.102494	0.0901387	0.00548833	0.0097781	0.000262721	0.247234	0.103805	0.0950095	0.0162977	0.103905	0.0569219	0.000839733	0.02090014	120.6291	0.387366	0.730169	1.08239	1.80007	0.152109	0.229912	0.214485	0.0421921	0.265696	0.0956068	0.0624351	0.3347499
27	0	-249.3555	-231.937	-17.41849	3.359342	0.04334702	0.01552656	0.0229159	0.032855	0.162769	0.138243	0.0989907	0.00575081	0.0564077	0.00594127	0.106259	0.0520815	0.0182942	0.00783363	0.151292	0.0887572	0.0516087	0.003362984	220.6577	0.415283	0.749665	1.08379	1.75126	0.184387	0.109375	0.240676	0.0601674	0.321427	0.0839669	0.01888955	0.1780341
28	0	-240.4978	-229.5226	-10.97521	1.665245	0.2883941	0.0120683	0.0383132	0.019351	0.0588547	0.291914	0.0148204	0.00119857	0.00853858	0.00960002	0.219176	0.0033922	0.00284584	0.038147	0.170232	0.0156651	0.107953	0.009225252	113.0545	0.249758	0.613935	1.05881	2.07749	0.149386	0.140048	0.22853	0.0664091	0.302737	0.112891	0.02129355	0.4332416
29	0	-258.9116	-241.9982	-16.91336	5.675879	0.1009999	0.0029399	0.0875948	0.290073	0.0566588	0.27184	0.0470221	0.00955911	0.00715064	0.00371341	0.0687764	0.0534721	0.0217857	0.0514988	0.0108949	0.00949957	0.0104612	0.01121938	230.4632	0.527938	0.818542	1.08197	1.57155	0.201805	0.164997	0.144645	0.0595985	0.295741	0.133214	0.01415928	0.7923694
