Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
2100	-139.8943	-125.3755	-14.51881	6.107621	5.024467	0.012566	0.100444	0.13851	0.00733725	0.00406722	0.0478786	0.0629711	0.0810295	0.00839126	0.15579	0.0820775	0.125769	0.413404	0.445173	0.0132467	0.0188893	0.0484188	0.111227	0.103797	0.0387921	0.0859352	0.159433	0.1131495	-0.3004719	0.0940244	0.0138213	0.0478492	0.0532201	0.00551992	0.00219971	0.0770824	0.0220225	0.00787421	0.42279	0.0623759	0.000633856	0.0307503	0.0123831	0.147453	0.4979019	2	11.28694	0.1077229	0.503091	0.804544	1.08326	1.60911	0.0770733	0.155871	0.0773656	0.485461	0.101481	0.102748	0.19743	2.521916
2200	-113.2162	-125.6249	12.40869	6.658176	1.124541	0.056739	0.0779554	0.0412395	0.00961384	0.0127056	0.0105021	0.0351015	0.0063499	0.00427848	0.00836463	0.0963332	0.189954	0.0148152	0.0723945	0.0656497	0.058215	0.0635575	0.016898	0.0941096	0.0419433	0.00025869	0.035337	0.04931676	0.08670761	0.139573	0.0203703	0.178994	0.0309949	0.0605973	0.00935454	0.104352	0.0367209	0.0677605	0.262561	0.014963	0.00182859	0.00443734	0.00733129	0.0601605	0.4033214	0	7.430798	0.1503507	0.161112	0.511232	1.01792	2.30974	0.161551	0.180212	0.059679	0.3866	0.124802	0.0871557	0.490029	0.8230562
2300	-120.7874	-124.2898	3.502419	4.327985	1.550101	0.0201187	0.0173596	0.0621783	0.0529736	0.00645382	0.000531817	0.0380952	0.0381462	0.0108915	0.281547	0.149654	0.0312443	0.264386	0.060376	0.123093	0.00592685	0.211872	0.0309256	0.208511	0.034028	0.00635236	0.136219	0.09236248	0.04465196	0.282552	0.083337	0.16412	0.0110195	0.0307077	0.0155536	0.124012	0.0173363	0.00435072	0.169962	0.0203068	0.00213725	0.0033773	0.0482223	0.0230055	0.404587	1	4.532485	0.1360924	0.232959	0.596689	1.05323	2.11712	0.0818084	0.195836	0.0566721	0.499867	0.0725345	0.0932815	0.4492389	0.9006053
2400	-127.3255	-126.1587	-1.166798	4.49656	0.4219117	0.00338152	0.101226	0.000564927	0.0183575	0.0550502	0.0018228	0.00415853	0.0119398	0.0870844	0.3202	0.19756	0.201486	0.0252102	0.398344	0.0181746	0.0443828	0.310697	0.0620724	0.168622	0.192467	0.14836	0.0302225	0.09825944	0.2922064	0.00864291	0.00812426	0.222389	0.209232	0.0538197	0.0387148	0.0963303	0.0285862	0.0140099	0.229987	0.00700526	0.000678044	0.0276411	0.0506552	0.00418431	0.3821122	4	4.594764	0.3775002	0.0199983	0.197926	0.753943	3.02813	0.147103	0.242889	0.0523426	0.353495	0.132717	0.0714539	0.6743186	0.5666642
2500	-134.0417	-126.809	-7.232662	3.251832	0.4101265	0.0599482	0.418669	0.0202337	0.0892334	0.00341653	0.0772477	0.0864602	0.273232	0.0757054	0.213269	0.0386012	0.370293	0.111216	0.0549746	0.0339548	0.0438184	0.140673	0.439013	0.0289232	0.314042	0.0921622	0.0167873	0.2048014	0.4625467	0.0697974	0.13454	0.0487324	0.000488728	0.0268577	0.0872172	0.0583795	0.0160628	0.0438978	0.222633	0.0142328	0.045333	0.0142073	0.0549182	0.162702	0.4708225	5	4.101996	0.4452024	0.018202	0.189279	0.74201	3.05051	0.0748224	0.152731	0.0622235	0.560747	0.056516	0.0929602	0.9333693	0.5044333
2600	-117.021	-127.5305	10.50955	7.198859	0.6725699	0.00438149	0.07777	0.0419422	0.0466246	0.0325228	0.0847271	0.0110942	0.10849	0.0261856	0.0244973	0.0302098	0.0941957	0.00943041	0.0256597	0.0188125	0.0928827	0.14411	0.0140746	0.0767756	0.0503195	0.0167252	0.00571559	0.05792299	0.02747664	0.0194061	0.00282676	0.0383646	0.047368	0.0479292	0.0944562	0.079214	0.0135477	0.00337807	0.145401	0.0692527	0.14481	0.177932	0.0912272	0.0248867	0.4620812	1	9.424263	0.3414344	0.0683415	0.350295	0.914264	2.6671	0.131713	0.242478	0.0641296	0.451696	0.0181754	0.0918074	0.4895579	0.9438746
2700	-116.3699	-130.2817	13.91182	5.21911	1.182116	0.133222	0.0238611	0.00926641	0.00593314	0.0650422	0.0241784	0.00842978	0.045839	0.0569131	0.0685747	0.0119868	0.0215965	0.0252191	0.0492303	0.0622005	0.000927515	0.0655573	0.00776715	0.188107	0.123726	0.0156295	0.0290786	0.04468978	-0.1620455	0.147693	0.0504475	0.199943	0.171657	0.00839331	0.0248251	0.0297565	0.0238959	0.0851522	0.136322	0.00305408	0.0410034	0.047399	0.0253374	0.00512002	0.4640597	1	5.821917	0.260543	0.171797	0.525395	1.02466	2.27815	0.0717306	0.210083	0.0912213	0.486893	0.0918597	0.0482124	0.3020142	1.536549
2800	-105.3929	-120.8747	15.4818	7.700116	2.818067	0.0255713	0.0458485	0.0441147	0.0089768	0.0192845	0.005687	0.0146664	0.0169216	0.00105328	0.027504	0.00973416	0.0664131	0.0052362	0.0717269	0.00837936	0.0111446	0.0112268	0.192182	0.0238894	0.027471	0.0154602	0.0462185	0.02998221	0.05756891	0.0461233	0.146995	0.307642	0.0503875	0.0565195	0.00432407	0.00889889	0.0600569	0.00786016	0.148154	0.014025	0.0173954	0.0209816	0.00419587	0.106441	0.4267677	4	9.892721	0.108967	0.374678	0.72093	1.08146	1.82293	0.111759	0.298316	0.0651678	0.361113	0.0675783	0.0960668	0.4843366	0.8811386
2900	-115.225	-128.3899	13.16492	4.792358	1.336088	0.061617	0.0332857	0.0456259	0.0219836	0.0160303	0.0466681	0.0536443	0.00806225	0.0515513	0.0603532	0.0548232	0.130168	0.0277649	0.167994	0.0212326	0.0131692	0.060668	0.118181	0.0472522	0.0831611	0.022548	0.0161342	0.06191254	0.01334577	0.0294048	0.0495825	0.143565	0.0442557	0.015159	0.0577929	0.056714	0.0428866	0.00467322	0.352094	0.0261798	0.0224793	0.0530751	0.00970483	0.092433	0.5606654	2	7.354331	0.2755397	0.198855	0.558787	1.03915	2.20321	0.15931	0.276982	0.0676573	0.409219	0.0633705	0.0234608	0.5740111	0.97675
3000	-117.7789	-122.7432	4.964308	3.395651	1.637415	0.0608403	0.164839	0.00573529	0.0235049	0.041029	0.0668095	0.016254	0.0763063	0.0175717	0.0909298	0.00287717	0.310269	0.109146	0.273937	0.0086372	0.177254	0.0335655	0.0120592	0.0468109	0.164647	0.144035	0.0130212	0.08200205	0.4605617	0.0103056	0.049642	0.0968277	0.029794	0.011834	0.0209128	0.0470091	0.0572953	0.0991704	0.263852	0.0667452	0.0219019	0.0693103	0.0297731	0.125626	0.4310865	2	3.493673	0.1539566	0.245791	0.609938	1.05757	2.0867	0.048516	0.210572	0.0659538	0.52455	0.0702291	0.0801791	0.8916482	0.4834715
