"lek","gaps","convg","cost.type","Y.cost.vals.1."
"file5adc557be813song.seq_LK6_SongsSeq.fa",30,"Y","increasing","1.2_1.5_1.8"
"file5adc51bc9c53song.seq_LK7_SongsSeq.fa",29,"Y","increasing","1.2_1.5_1.8"
"file5adc622320absong.seq_LK8_SongsSeq.fa",39,"Y","increasing","1.2_1.5_1.8"
"file5adc2925c991song.seq_LK9_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc58c2a366song.seq_LK10_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
"file5adcf3a4362song.seq_LK11_SongsSeq.fa",26,"N","increasing","1.2_1.5_1.8"
"file5adc2046ccdbsong.seq_LK1_SongsSeq.fa",31,"N","increasing","1.2_1.5_1.8"
"file5adc7b8da808song.seq_LK2_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc7bbbd8e2song.seq_LK3_SongsSeq.fa",37,"Y","increasing","1.2_1.5_1.8"
"file5adc477820d3song.seq_LK4_SongsSeq.fa",40,"N","increasing","1.2_1.5_1.8"
"file5adcb7ed37csong.seq_LK5_SongsSeq.fa",36,"Y","increasing","1.2_1.5_1.8"
"file5adc5f443accsong.seq_LK6_SongsSeq.fa",32,"Y","increasing","1.2_1.5_1.8"
"file5adc4ad1d16song.seq_LK7_SongsSeq.fa",31,"Y","increasing","1.2_1.5_1.8"
"file5adc176c45e6song.seq_LK8_SongsSeq.fa",32,"Y","increasing","1.2_1.5_1.8"
"file5adc7420bfb5song.seq_LK9_SongsSeq.fa",40,"N","increasing","1.2_1.5_1.8"
"file5adc75d709c8song.seq_LK10_SongsSeq.fa",27,"Y","increasing","1.2_1.5_1.8"
"file5adc6afc2acbsong.seq_LK11_SongsSeq.fa",20,"Y","increasing","1.2_1.5_1.8"
"file5adc598f9bb0song.seq_LK1_SongsSeq.fa",39,"Y","increasing","1.2_1.5_1.8"
"file5adc40d08c29song.seq_LK2_SongsSeq.fa",40,"N","increasing","1.2_1.5_1.8"
"file5adc46b5fe12song.seq_LK3_SongsSeq.fa",37,"Y","increasing","1.2_1.5_1.8"
"file5adc732fc06csong.seq_LK4_SongsSeq.fa",33,"N","increasing","1.2_1.5_1.8"
"file5adc37621653song.seq_LK5_SongsSeq.fa",26,"Y","increasing","1.2_1.5_1.8"
"file5adc34def1dasong.seq_LK6_SongsSeq.fa",26,"Y","increasing","1.2_1.5_1.8"
"file5adc4a9903ebsong.seq_LK7_SongsSeq.fa",30,"Y","increasing","1.2_1.5_1.8"
"file5adc701870efsong.seq_LK8_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
"file5adc3ab3f53csong.seq_LK9_SongsSeq.fa",40,"N","increasing","1.2_1.5_1.8"
"file5adc59f7ce1bsong.seq_LK10_SongsSeq.fa",38,"Y","increasing","1.2_1.5_1.8"
"file5adc46cc876song.seq_LK11_SongsSeq.fa",36,"Y","increasing","1.2_1.5_1.8"
"file5adc1e92d641song.seq_LK1_SongsSeq.fa",35,"Y","increasing","1.2_1.5_1.8"
"file5adc549c11bcsong.seq_LK2_SongsSeq.fa",25,"Y","increasing","1.2_1.5_1.8"
"file5adc39d86759song.seq_LK3_SongsSeq.fa",36,"Y","increasing","1.2_1.5_1.8"
"file5adc740ebe54song.seq_LK4_SongsSeq.fa",29,"N","increasing","1.2_1.5_1.8"
"file5adc2658ae0fsong.seq_LK5_SongsSeq.fa",17,"Y","increasing","1.2_1.5_1.8"
"file5adc1bfb8804song.seq_LK6_SongsSeq.fa",21,"Y","increasing","1.2_1.5_1.8"
"file5adc1d3487e5song.seq_LK7_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc7f1b5176song.seq_LK8_SongsSeq.fa",29,"N","increasing","1.2_1.5_1.8"
"file5adc2b35cb67song.seq_LK9_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc3d7b54c0song.seq_LK10_SongsSeq.fa",21,"N","increasing","1.2_1.5_1.8"
"file5adc7aa8f97esong.seq_LK11_SongsSeq.fa",17,"Y","increasing","1.2_1.5_1.8"
"file5adc26f1a449song.seq_LK1_SongsSeq.fa",32,"Y","increasing","1.2_1.5_1.8"
"file5adc4f37594song.seq_LK2_SongsSeq.fa",40,"N","increasing","1.2_1.5_1.8"
"file5adc627ccfasong.seq_LK3_SongsSeq.fa",40,"N","increasing","1.2_1.5_1.8"
"file5adc635df16song.seq_LK4_SongsSeq.fa",28,"N","increasing","1.2_1.5_1.8"
"file5adc9a092aasong.seq_LK5_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc1d9412e0song.seq_LK6_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
