Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
2100	-62.25251	-88.56215	26.30964	1.286894	0.00434914	0.0496648	0.0115783	0.0178633	0.00226234	0.00834106	0.0504282	0.135982	0.06128412	-0.001268213	0.00150803	0.0437366	0.0438776	0.105877	0.0362444	0.0849927	0.125136	0.0145622	0.070782	0.0555908	0.11161	0.029134	0.128321	0.0759274	0.0727001	0.008410712	64.78283	0.190448	0.548761	1.035	2.22579	0.0490146	0.491349	0.00102456	0.0834878	0.30159	0.0735339	0.0071425	1.177559
2200	-74.21438	-80.0959	5.881529	0.6822714	0.0381428	0.00553705	0.32891	0.212482	0.446045	0.0142147	0.156977	2.4733	0.3033723	0.1121988	0.0262963	0.0363584	0.198802	0.176081	0.0309346	0.0306525	0.00657665	0.0088455	0.0391414	0.213809	0.0135286	0.0580792	0.0199546	0.0910587	0.049882	0.0637824	25.7593	0.0704061	0.355044	0.918117	2.65643	0.0185432	0.408834	0.000765661	0.127035	0.399592	0.0452309	0.1759812	0.3624388
2300	-66.76998	-79.07648	12.3065	2.575364	0.100472	0.073391	0.356906	0.27786	0.0936265	0.85938	0.0110363	0.969211	0.245142	0.05073882	0.0252443	0.000227625	0.0483487	0.0258498	0.0125681	0.0506313	0.0294632	0.00970926	0.0801554	0.19409	0.0229624	0.0612262	0.0241468	0.284132	0.131244	0.04984334	7.036438	0.353487	0.70493	1.07943	1.86215	0.052605	0.396368	0.0033706	0.138777	0.374189	0.0346899	0.1005822	0.4955485
2400	-63.94916	-81.84342	17.89426	1.401657	0.0354407	0.0114493	0.113212	0.0982727	0.159792	0.292778	0.31824	0.168966	0.1143001	-0.00442336	0.0470462	0.0433408	0.110363	0.0171849	0.0398451	0.0184454	0.0317174	0.0292897	0.109137	0.100579	0.00158507	0.172012	0.0277443	0.226004	0.0257064	0.03803977	29.43947	0.209723	0.571324	1.04408	2.17487	0.0508761	0.440993	0.0157973	0.113485	0.347472	0.0313765	0.03361641	1.131583
2500	-62.60498	-82.95532	20.35034	1.139554	0.0473621	0.0186808	0.0981519	0.380276	0.0080682	0.57258	0.152241	0.0552778	0.1429746	0.09857371	0.182697	0.0636008	0.0756871	0.0317954	0.00774121	0.00136994	0.0181429	0.0472412	0.0507304	0.282615	0.0282845	0.0383378	0.00038814	0.159369	0.0119987	0.0392548	7.303022	0.163928	0.515024	1.01976	2.30129	0.0148562	0.637437	0.0106938	0.0996975	0.209921	0.0273942	0.1378285	0.284809
2600	-57.1846	-85.22849	28.04389	1.903942	0.0145785	0.0382962	0.0106915	0.0410227	0.00740933	0.0103047	0.179912	0.0605961	0.04762367	0.006573362	0.0548641	0.0199789	0.0530196	0.0584887	0.0222772	0.00968318	0.0501516	0.0190109	0.0229749	0.0584513	0.156603	0.173334	0.0160431	0.224902	0.0602173	0.01045181	30.0501	0.281532	0.644394	1.06739	2.00668	0.0867318	0.329361	0.000682985	0.107656	0.431382	0.0441865	0.01702517	0.6139033
2700	-56.24879	-81.05908	24.81029	1.248378	0.00620659	0.0106183	0.0157025	0.00255923	0.00330637	0.0928938	0.107334	0.0557327	0.04953044	0.01450091	0.021319	0.0461805	0.0577972	0.0799264	0.023106	0.260699	0.0290816	0.0113105	0.0185423	0.106659	0.041294	0.0265642	0.00640053	0.212466	0.0586547	0.0183643	127.0799	0.183711	0.540506	1.03146	2.24433	0.00838853	0.521234	0.00119935	0.149353	0.299444	0.0203806	0.0328652	0.5587763
2800	-58.20042	-79.41021	21.20979	1.999128	0.0273022	0.0313711	0.0804686	0.0559413	0.0376245	0.448687	0.00433286	0.19768	0.1492864	0.05772305	0.133885	0.0889161	0.178884	0.119853	0.0860802	0.0242074	0.0858174	0.0123673	0.0350847	0.00777498	0.0508338	0.0222408	0.00480504	0.141679	0.0075706	0.06726426	11.42327	0.293171	0.654921	1.06997	1.98194	0.0282761	0.405709	0.00531387	0.0840254	0.412437	0.0642386	0.1249873	0.5381687
2900	-66.86717	-86.27489	19.40772	2.674529	0.102662	0.00594883	0.00448476	0.0227569	0.0516799	0.663881	0.0365654	0.106651	0.1500357	0.06659893	0.030201	0.0735826	0.0272525	0.0142459	0.0634951	0.0785591	0.0557465	0.0566204	0.0181355	0.087394	0.365376	0.0650801	0.00679407	0.0398294	0.0176873	0.01558234	13.57207	0.362403	0.711751	1.08036	1.84549	0.0873744	0.497851	0.0019341	0.110276	0.229577	0.0729881	0.08218127	0.1896094
3000	-62.41226	-86.09719	23.68494	3.256832	0.0282021	0.0266282	0.143086	0.118215	0.0210384	0.0268743	0.0611318	0.232151	0.05619367	0.08577465	0.20371	0.0577387	0.0399841	0.0421652	0.0675499	0.0912552	0.0374723	0.0197965	0.0405069	0.0510367	0.064191	0.0755547	0.0314603	0.13242	0.0451587	0.0005371884	17.67515	0.408204	0.744825	1.08352	1.76345	0.0214975	0.443731	0.0594573	0.0619784	0.29818	0.115155	0.08631184	0.006223809
3100	-69.31387	-89.44211	20.12824	1.643863	3.61775e-05	0.0906061	0.18462	0.0127157	0.00556111	0.18868	0.0563968	0.324864	0.1189984	0.0432296	0.0870171	0.029524	0.0521788	0.056537	0.0507048	0.0878916	0.00810641	0.00378732	0.124965	0.0213021	0.134713	0.206384	0.0303097	0.0417197	0.0648603	0.02282764	28.16099	0.246715	0.610873	1.05786	2.08455	0.0233075	0.400213	9.1358e-05	0.220361	0.247124	0.108903	0.06605724	0.3455737
3200	-50.92958	-88.32188	37.3923	1.371531	0.00177169	0.00479645	0.00931213	0.00081124	0.00220115	0.0253514	0.00301674	0.0331053	0.008617264	0.004764543	0.0511137	0.0105683	0.0837864	0.0644055	0.0603381	0.109715	0.00620692	0.0979117	0.0377255	0.00297601	0.0297037	0.129611	0.0232635	0.25469	0.0379853	0.002184836	98.78746	0.204777	0.565676	1.04189	2.18765	0.0790901	0.349881	0.0180973	0.205413	0.237304	0.110215	0.00694938	0.314393
3300	-63.9055	-86.11829	22.21279	1.043071	0.163222	0.0379984	0.0128836	0.0199326	0.000592616	0.0199822	0.00758603	0.151744	0.05707011	0.00386261	0.0207477	0.014148	0.0875539	0.30447	0.0471874	0.027277	0.0392177	0.00852228	0.00760425	0.0536712	0.0961869	0.00230751	0.0490993	0.171208	0.0707997	0.0002290526	380.7982	0.145467	0.489326	1.00679	2.35842	0.00930711	0.312293	0.0667634	0.141152	0.393802	0.0766836	0.004091663	0.05598032
3400	-62.45625	-84.61857	22.16231	1.000926	0.00753047	0.0175612	0.004679	0.0478088	0.0109934	0.048626	0.0428879	0.0770973	0.07475187	0.001386652	0.0264885	0.0192944	0.0146486	0.152661	0.0289948	0.0631432	0.164783	0.0284483	0.0620763	0.0107119	0.090731	0.0410485	0.121807	0.160893	0.0142705	0.02064808	313.8788	0.137139	0.47703	1.00015	2.38568	0.0569081	0.374161	0.0108989	0.14456	0.352337	0.0611345	0.02203473	0.9370697
3500	-58.22993	-84.11769	25.88776	2.085146	0.0108832	0.00494883	0.0340457	0.0100486	0.0362155	0.0101657	0.0639947	0.00590923	0.01700329	0.002844859	0.152921	0.0413503	0.0205378	0.0323242	0.201713	0.166502	0.0697764	0.0250906	0.00564802	0.00562298	0.213959	0.00654698	0.0164707	0.0363374	0.00520026	0.01085984	388.0261	0.303231	0.663773	1.07198	1.96101	0.054848	0.486087	0.00635695	0.138122	0.277459	0.0371279	0.0137047	0.7924172
3600	-54.14485	-83.13067	28.98582	5.240727	0.0063281	0.0106407	0.0024993	0.0316463	0.0226833	0.0150181	0.0155842	0.0120748	0.0305896	0.005613964	0.103853	0.0538663	0.0864989	0.0325454	0.110439	0.0530461	0.0215266	0.0580789	0.0414486	0.0958418	0.0465643	0.00763523	0.0453165	0.241485	0.00185462	0.02351166	94.15198	0.511779	0.809508	1.08286	1.59585	0.0864672	0.386052	0.00625252	0.124654	0.331687	0.0648883	0.02912562	0.80725
3700	-65.56696	-86.18045	20.61348	2.801685	0.00862133	0.0622022	0.0977841	0.12865	0.127295	0.219372	0.0173456	0.131565	0.09619795	0.1113796	0.0787069	0.0373734	0.0126195	0.0175452	0.135842	0.125503	0.00505793	0.0452787	0.0701297	0.232958	0.0237962	0.0208557	0.0448171	0.089399	0.0601183	0.1159563	10.368	0.373313	0.719921	1.08134	1.82542	0.100969	0.442628	0.00528983	0.150838	0.24491	0.055365	0.227336	0.5100659
3800	-70.13164	-89.76053	19.62889	0.8913752	0.00473974	0.00170719	0.0149894	0.0224338	0.0738772	0.177415	0.22366	0.0554755	0.07541149	0.002272764	0.0984414	0.0468824	0.00831928	0.0743912	0.0577169	0.0366374	0.0630475	0.0205025	0.0221183	0.110076	0.110801	0.0550617	0.0020049	0.186659	0.107341	0.04102642	121.2302	0.114804	0.441478	0.97938	2.46434	0.107278	0.351544	0.0236666	0.239169	0.202238	0.0761051	0.04329918	0.9475102
3900	-68.7787	-84.44216	15.66346	1.451835	0.287523	0.0727021	0.124596	0.419048	0.00994782	0.794956	0.193943	0.136632	0.2583782	0.02764694	0.219829	0.0561014	0.00938064	0.11478	0.0393958	0.069479	0.00997835	0.0328519	0.0453118	0.0152098	0.0165159	0.152909	0.029622	0.0392571	0.149378	0.07432598	7.511586	0.217785	0.580338	1.04746	2.15441	0.0260905	0.39853	0.01842	0.245154	0.281893	0.029913	0.1019729	0.7288796
4000	-50.31166	-80.60472	30.29305	0.7658939	0.00168501	0.0216504	0.0056846	0.00154759	0.0135203	0.00171401	0.0270578	0.0108052	0.007372961	0.003838758	0.208909	0.0255079	0.021619	0.0543077	0.127176	0.0692475	0.0550778	0.0256149	0.0182483	0.0469386	0.0182403	0.0301954	0.0122894	0.213627	0.0729997	0.01235497	665.2747	0.0882836	0.393031	0.947037	2.57165	0.0198903	0.482916	0.00235017	0.109111	0.29506	0.090673	0.01619373	0.7629478
4100	-67.28531	-84.00557	16.72026	0.9625886	0.114601	0.176301	0.21829	0.274977	0.0834634	0.105575	0.221313	0.0333203	0.1159874	0.01387763	0.304222	0.0113441	0.0724286	0.00466073	0.104429	0.0166183	0.048147	0.0072337	0.0249106	0.0159374	0.0420198	0.0151048	0.00181102	0.28902	0.0421131	0.01329527	74.15156	0.12943	0.465211	0.993514	2.41185	0.0350327	0.411986	0.0423269	0.109243	0.333062	0.0683491	0.0271729	0.4892842
