Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
20	0	-239.912	-231.906	-8.006013	2.685788	4.903352	0.198433	0.115338	0.0164968	0.238857	0.136564	0.00796204	0.108323	0.00489573	0.0959371	0.238573	0.0661276	0.0411942	0.133275	0.0703714	0.0467487	0.238134	0.09564061	0.0473698	0.0578794	0.0135988	0.0920641	0.00655568	0.128255	0.015545	0.0634978	0.0224702	0.150726	0.0906886	0.00434037	0.236693	0.0322435	0.0432495	0.0421934	0.4361144	2	19.69011	0.08231557	0.498013	0.801607	1.08347	1.61691	0.16159	0.196237	0.165704	0.110475	0.292735	0.0732604	0.4834841	0.9020241
21	0	-252.9653	-236.0044	-16.96093	4.206901	1.358987	0.0337798	0.379867	0.0141476	0.255671	0.0121908	0.0317613	0.0847155	0.0324575	0.0929021	0.416523	0.428109	0.188534	0.421658	0.279393	0.122116	0.45722	0.1964215	-0.09219764	0.0755053	0.000919456	0.240348	0.00154353	0.00445049	0.0766925	0.0380417	0.0558443	0.0924473	0.21984	0.00456891	0.0908626	0.00991289	0.0833292	0.00569382	0.3655022	1	17.74311	0.07116594	0.202694	0.563268	1.04094	2.19309	0.181529	0.245828	0.193395	0.081186	0.235026	0.0630357	0.2733046	1.337344
22	0	-236.3862	-239.1046	2.718381	0.7371869	3.420746	0.0293498	0.0382806	0.0560751	0.0406058	0.0317593	0.085945	0.16216	0.0161082	0.0750081	0.0965582	0.00490456	0.196609	0.0638746	0.0885311	0.0715175	0.0546104	0.0626218	-0.01466246	0.1601	0.0501665	0.162018	0.0317359	0.013908	0.00800946	0.0698519	0.0258694	0.169137	0.00990893	0.0195311	0.155976	0.0472633	0.0724526	0.00407136	0.236441	3	22.35249	0.05873983	0.419402	0.75245	1.08393	1.74422	0.139541	0.237562	0.220666	0.0993637	0.239296	0.063571	0.2217785	1.066113
23	0	-247.8631	-236.6879	-11.1752	1.247013	2.846935	0.098095	0.010387	0.114152	0.0494983	0.0558446	0.0228605	0.0300648	0.0704491	0.242137	0.250825	0.0230414	0.105189	0.615189	0.280001	0.208285	0.0365511	0.1589215	0.2077518	0.0515136	0.00709186	0.383652	0.00632865	0.0809378	0.0271484	0.0546676	0.0407796	0.0391704	0.0706476	0.017984	0.133339	0.0016435	0.07721	0.00788645	0.172265	2	15.37184	0.1159871	0.377063	0.722685	1.08165	1.8186	0.100586	0.193835	0.218573	0.0778444	0.344127	0.0650359	0.3800168	0.4533089
24	0	-240.8393	-236.7903	-4.048943	3.218221	2.7036	0.00379658	0.0848207	0.00484136	0.0903382	0.236673	0.0290358	0.0785035	0.0176445	0.113446	0.237413	0.00618345	0.14607	0.243178	0.412299	0.143994	0.0439088	0.1582303	0.08078331	0.0988251	0.127957	0.0797796	0.00777377	0.036902	0.088447	0.147559	0.0676203	0.0265371	0.0438338	0.012848	0.169642	0.00036365	0.0656614	0.0262494	0.1701709	3	14.13334	0.05929301	0.364947	0.713674	1.0806	1.84078	0.204004	0.18835	0.192966	0.121003	0.221592	0.0720851	0.2509542	0.6780954
25	0	-254.8959	-248.2356	-6.660338	4.204937	3.015995	0.207785	0.0731056	0.0207136	0.0831905	0.238365	0.169259	0.0759709	0.047564	0.265836	0.0610192	0.0222758	0.127202	0.273273	0.0732678	0.258989	0.284726	0.160904	0.04619541	0.107772	0.0105577	0.0556991	0.0639053	0.0576897	0.112235	0.0277659	0.0275	0.0953543	0.0349388	0.0351334	0.153249	0.00312566	0.0635184	0.151555	0.1608121	1	12.18281	0.1757459	0.390496	0.73241	1.08259	1.7945	0.189053	0.199082	0.208975	0.0923636	0.238983	0.0715436	0.2070075	0.7768419
26	0	-244.5822	-239.2124	-5.36979	1.890498	1.979608	0.17847	0.0725321	0.0881781	0.014573	0.132118	0.00460625	0.0352968	0.0601385	0.237372	0.0345501	0.123135	0.102724	0.384548	0.0764391	0.039241	0.200189	0.1020361	-0.08642178	0.0944486	0.00532898	0.0787091	0.0107297	0.0173887	0.101723	0.0407888	0.202788	0.0462715	0.200204	0.0275046	0.0431576	0.0250462	0.0498947	0.0560166	0.3840388	2	19.26653	0.07421514	0.290828	0.652828	1.06947	1.98687	0.238232	0.168217	0.18962	0.0953691	0.19333	0.115233	0.297617	1.290379
27	0	-251.742	-236.0297	-15.71231	1.750434	6.584527	0.198608	0.388839	0.10909	0.0130022	0.0677375	0.0989423	0.734887	0.0241021	0.133246	0.0104778	0.146654	0.0807194	0.121358	0.264691	0.301344	0.110964	0.1305564	0.08581049	0.087223	0.041202	0.204909	0.000605674	0.0669897	0.0590173	0.0858144	0.164247	0.0209346	0.0751506	0.0330303	0.0283892	0.0452947	0.072538	0.0146549	0.2913372	4	22.24492	0.05641382	0.557002	0.834168	1.07992	1.52891	0.188071	0.278602	0.194792	0.0675902	0.217197	0.0537472	0.3771477	0.7724751
28	0	-261.2028	-234.6661	-26.53664	0.3172236	2.189883	0.338401	0.684713	0.185129	0.0308966	1.97693	0.0126752	1.30491	0.161094	0.975396	0.911622	0.136851	0.0294175	0.319448	0.53455	0.420515	0.817184	0.5042056	-0.01740899	0.0419892	0.145967	0.130411	0.020568	0.128675	0.00414781	0.106871	0.0216072	0.0906427	0.0721044	0.00358264	0.185645	0.024211	0.0147694	0.00880936	0.2290641	4	15.25428	0.07992291	0.314934	0.673797	1.07409	1.93718	0.163068	0.241909	0.100561	0.10959	0.351589	0.0332837	0.2116551	1.082252
29	0	-246.964	-232.6325	-14.3315	0.4081736	3.760501	0.0741011	0.0402906	0.208074	0.0128927	0.731167	0.00294324	0.0876187	0.153293	0.69417	0.67196	0.42148	0.0868359	0.189857	0.0814857	0.0536351	0.256572	0.231133	0.02591903	0.0867104	0.0331549	0.192236	0.00305259	0.0243639	0.0451446	0.160608	0.0421029	0.122152	0.0747425	0.0253292	0.0685279	0.0140605	0.0939299	0.0138846	0.291042	3	15.71963	0.1082769	0.440701	0.766497	1.08436	1.70845	0.196068	0.216468	0.264738	0.06815	0.208906	0.0456698	0.316961	0.9182264
30	0	-228.5141	-233.4137	4.899642	1.371578	3.101023	0.013053	0.160582	0.0814271	0.0149177	0.0723968	0.0199591	0.0786173	0.0383066	0.124606	0.0420572	0.0165258	0.111426	0.294998	0.0392662	0.140349	0.161186	0.07243475	0.04565414	0.0132161	0.0121403	0.0635366	0.00184107	0.0604454	0.0824406	0.0631937	0.0266631	0.097752	0.184837	0.000783577	0.158061	0.00505607	0.228427	0.00160695	0.1746383	4	19.3628	0.08313815	0.396929	0.736972	1.08297	1.78313	0.175479	0.211323	0.132204	0.07413	0.338002	0.0688624	0.2202924	0.7927566
31	0	-240.1181	-236.663	-3.455123	1.745445	2.315097	0.10269	0.0601119	0.0101176	0.0759967	0.103042	0.00334293	0.233225	0.0163478	0.0329103	0.0932063	0.00697449	0.0841319	0.292051	0.266843	0.248623	0.185088	0.08875478	0.01232908	0.139715	0.0602484	0.150516	0.00781834	0.0951217	0.0489904	0.104937	0.0558171	0.0243777	0.10013	0.00567009	0.0307954	0.00884825	0.131164	0.0358497	0.2608038	4	25.01968	0.05066118	0.328195	0.68482	1.07619	1.9108	0.150258	0.257874	0.165164	0.0820181	0.29314	0.0515462	0.2731329	0.9548605
32	0	-241.1569	-233.6737	-7.483216	1.220618	2.163183	0.0564445	0.177983	0.0303315	0.0535943	0.0310479	0.0727845	0.4674	0.032331	0.106996	0.126933	0.0225742	0.135879	0.0282646	0.0108304	0.194934	0.0504539	0.09247927	0.04722257	0.0917362	0.00447461	0.254881	0.000678849	0.10607	0.0407398	0.0161155	0.0581838	0.0186639	0.189647	0.0090389	0.0505509	0.0163576	0.129864	0.0129989	0.2286283	1	24.60527	0.09427737	0.312006	0.671315	1.07358	1.9431	0.155186	0.29621	0.143076	0.0777242	0.246032	0.0817721	0.2758509	0.8288112
