Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
21	0	-157.839	-127.4162	-30.42286	5.735062	3.791175	1.3991	0.100229	0.244736	0.0866898	1.59954	1.66293	1.11881	1.42974	0.588981	2.49549	0.8090376	0.06046143	0.082218	0.0166899	0.153709	0.0268916	0.0762396	0.00813949	0.0239434	0.0722855	0.043231	0.27666	0.0679747	0.0153257	0.111589	0.0109722	0.0141318	0.241593	0	8.129198	0.2028498	0.442509	0.767663	1.08437	1.70546	0.0432915	0.189824	0.0657849	0.599925	0.0298919	0.0712822	0.3020545	0.7998327
22	0	-144.6534	-135.6404	-9.013054	7.217806	3.196056	0.240725	0.440809	0.00344731	0.0969303	0.174629	0.234823	0.340965	0.134581	0.30221	0.0426085	0.1497304	0.002884438	0.00960845	0.0222365	0.0597807	0.129906	0.190526	0.0432592	0.0729875	0.0310699	0.145132	0.111824	0.0872067	0.00619047	0.0440624	0.0423444	0.00386499	0.3395633	0	8.494275	0.1550803	0.403882	0.741836	1.08333	1.77095	0.0809529	0.144193	0.0517425	0.570003	0.0594373	0.0936713	0.3424478	0.991577
23	0	-148.557	-130.1829	-18.37408	6.049661	2.897184	0.284705	0.0020484	0.378916	0.038419	0.216443	1.74927	0.295997	1.02514	0.209945	0.209281	0.3260151	-0.3297908	0.0806927	0.0561193	0.0999166	0.0352505	0.00429949	0.0647594	0.0281721	0.010478	0.00333192	0.311032	0.105842	0.0773538	0.0340014	0.017007	0.071744	0.5087003	0	9.112302	0.1677209	0.381148	0.725672	1.08196	1.81122	0.088674	0.157011	0.0630468	0.484759	0.0291443	0.177365	0.1789095	2.843338
24	0	-147.466	-135.6278	-11.83825	10.04597	4.594626	0.0823647	0.213041	0.184117	0.00825216	0.26801	0.229128	0.0514236	0.0570768	0.287624	0.285191	0.1485307	0.1215336	0.0124216	0.0342228	0.340109	0.185185	0.0263528	0.0132797	0.0953483	0.061505	0.0192598	0.0645322	0.0286466	0.0149815	0.0459622	0.0294022	0.0287915	0.2274743	0	12.60335	0.09632438	0.484317	0.79355	1.08393	1.63821	0.0293353	0.120835	0.10027	0.595551	0.0665548	0.0874528	0.3490079	0.651774
25	0	-157.7822	-140.5322	-17.25002	6.283095	6.473278	1.02207	0.0134773	0.135205	0.0859068	0.357857	0.800813	0.0620909	0.0458643	0.626109	0.208478	0.3444023	-0.07021558	0.135904	0.0195646	0.168511	0.0514656	0.060068	0.0597451	0.0256101	0.121306	0.0203169	0.00779165	0.0408261	0.0933777	0.0357052	0.0245351	0.135273	0.3118754	0	6.436518	0.2659275	0.553736	0.83245	1.08018	1.53363	0.0451157	0.133026	0.0711721	0.506103	0.030404	0.214179	0.2416599	1.290555
26	0	-150.6777	-132.7676	-17.91012	9.28984	2.77424	0.16662	0.564581	0.738959	0.40114	0.147785	0.269768	0.458151	0.0971403	0.822196	0.483164	0.3379545	-0.001812461	0.0743771	0.102857	0.147907	0.075863	0.0170971	0.0154625	0.0588762	0.15798	0.071486	0.0782134	0.00629219	0.0158169	0.078523	0.0519815	0.0472667	0.2433375	0	14.12702	0.1376404	0.371006	0.718209	1.08115	1.82964	0.109143	0.1133	0.0968078	0.547815	0.0428835	0.0900503	0.2415251	1.007504
27	0	-153.5931	-134.1191	-19.47394	5.710513	1.286732	0.177222	0.301593	0.65253	0.81123	3.18249	0.538867	0.963866	0.0288086	0.26326	0.0698434	0.6648492	-0.009639053	0.0184811	0.0759857	0.118862	0.110747	0.0641853	0.00193187	0.0122931	0.257964	0.0306377	0.0485036	0.178938	0.00294022	0.0295412	0.0450144	0.00397418	0.175005	0	6.587689	0.2475281	0.19042	0.548727	1.03499	2.22587	0.0825301	0.216968	0.0334105	0.631546	0.0128856	0.0226602	0.165366	1.058289
28	0	-143.373	-130.3239	-13.04915	5.872978	2.157037	0.351837	0.360794	0.72415	0.284275	0.131952	0.669388	0.130939	0.1997	1.04002	0.0851742	0.2311051	-0.1766378	0.0153455	0.060401	0.082155	0.0210785	0.0772667	0.0778869	0.0345469	0.0223614	0.0168581	0.19218	0.0371563	0.138064	0.168955	0.00164679	0.0540989	0.4602883	0	6.929927	0.1486943	0.311326	0.670737	1.07346	1.94447	0.0691016	0.137009	0.037706	0.641982	0.0350293	0.0791722	0.2836506	1.62273
29	0	-160.8786	-139.5062	-21.37241	3.791653	4.564674	0.00174829	0.317642	1.31168	1.45561	0.0894854	0.132814	1.15578	0.747641	0.240002	0.106857	0.724448	0.07111325	0.00238446	0.0168738	0.158631	0.0155035	0.0386158	0.0108767	0.0408689	0.131251	0.00681457	0.103509	0.176062	0.0633983	0.120844	0.000291444	0.114076	0.2851848	0	9.01792	0.2180433	0.482927	0.792721	1.08397	1.64039	0.0535237	0.234411	0.0344444	0.466381	0.0762373	0.135002	0.3562981	0.8004108
30	0	-144.2405	-129.8275	-14.41305	9.341434	5.60676	0.0146016	0.27666	0.366325	0.191685	0.263053	0.17642	0.192845	0.0880868	0.0620432	0.574792	0.1659254	-0.1111923	0.01196	0.0270862	0.145591	0.0308383	0.0244148	0.151643	0.0467087	0.0269518	0.0919967	0.163197	0.134962	0.0292542	0.00976558	0.0451649	0.060465	0.4922205	0	9.395906	0.1649578	0.52548	0.817185	1.08212	1.57522	0.0813897	0.14157	0.045801	0.622663	0.0419218	0.0666543	0.3810282	1.291822
