Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
2000	-389.0679	-340.9755	-48.09234	7.991044	4.352764	0.460418	0.707014	0.175899	0.649506	1.31539	0.509137	0.564569	0.160582	0.0636178	0.080035	0.066663	0.116581	0.020353	0.549653	0.314995	2.07589	0.142542	0.612561	0.252932	0.24872	0.378343	0.869311	0.3692651	0.2153559	0.123724	0.107728	0.0435469	0.113479	0.0497949	0.0682802	3.37941e-05	0.00396322	0.138007	0.0168777	0.185986	0.020153	0.0516705	0.0706264	0.00612831	0.422225	3	8.06118	0.250298	0.47275	0.786588	1.0842	1.65646	0.120335	0.185376	0.159471	0.0728487	0.211266	0.250703	0.6375808	0.6622297
2100	-398.9786	-340.8333	-58.14526	8.13975	2.465977	0.837336	0.523239	0.0287285	2.39906	0.844212	0.593795	2.60974	0.250626	0.433788	0.354619	0.0155334	1.48408	0.758245	0.373924	0.526887	0.654526	0.00162529	0.0445661	0.529501	0.455631	1.95112	0.321216	0.6617933	0.07259986	0.114302	0.183417	0.0429476	0.0183978	0.0431348	0.0860197	0.0226434	0.00631062	0.111925	0.0575871	0.209089	0.00516547	0.0210145	0.0546522	0.0233947	0.2688853	3	9.987038	0.1841178	0.343207	0.696895	1.07823	1.88167	0.122182	0.183003	0.146539	0.127966	0.31626	0.104049	0.3414851	0.7873997
2200	-400.0976	-346.787	-53.31061	9.941068	3.446531	0.169774	0.597569	0.144273	0.756313	0.508909	0.348138	0.00058998	0.37456	0.0737875	0.125863	0.660921	0.752414	0.193467	0.936929	1.9596	0.459402	1.29452	0.863481	0.906804	0.191523	0.228646	0.758408	0.444441	0.07005785	0.0343775	0.0439706	0.160114	0.076689	0.0230349	0.00442696	0.04349	0.00603239	0.0506339	0.0227337	0.0938207	0.0568786	0.0638705	0.243634	0.0762938	0.3397368	3	10.19962	0.1409785	0.421106	0.753595	1.08398	1.74132	0.173753	0.151081	0.189776	0.092842	0.233605	0.158944	0.4097947	0.8290416
2300	-395.3915	-348.9588	-46.43275	11.10535	7.610368	0.121054	0.488093	0.0178435	0.449461	0.297575	0.547422	0.181411	0.591895	0.00631835	0.0930195	0.472955	0.498457	0.0480953	0.104755	0.310497	0.286885	0.71167	0.0418978	0.444356	0.0869936	0.201211	0.240954	0.2100196	-0.05713559	0.0898327	0.0332609	0.0295467	0.136061	0.077596	0.0251195	0.0690137	0.00253868	0.0979187	0.0240427	0.162233	0.0239108	0.113477	0.0659683	0.04948	0.3879085	0	12.92499	0.1127085	0.584035	0.848025	1.07754	1.4904	0.145461	0.119051	0.268349	0.089855	0.290467	0.0868171	0.3307729	1.172734
2400	-392.9547	-342.8444	-50.11032	8.80054	3.804916	0.40428	0.159068	0.0593228	0.110346	0.462892	0.936682	0.212941	0.22586	0.118314	0.263704	0.0140843	0.0911171	0.24345	1.33378	0.305371	1.28141	2.10373	0.394343	0.110802	1.0819	0.608857	0.0663932	0.2736782	-0.01562118	0.172957	0.031119	0.107829	0.065	0.110619	0.0482225	0.000117217	0.0390956	0.206683	0.00380158	0.0725059	0.0523538	0.0332193	0.0381324	0.0183436	0.4547519	3	9.26595	0.2052643	0.443313	0.768181	1.08438	1.70413	0.148082	0.0949101	0.210414	0.116759	0.299844	0.12999	0.4391307	1.035573
2500	-395.2671	-343.3321	-51.93496	7.197375	7.32549	0.0270498	0.469149	0.405406	0.86209	0.466332	0.887168	1.30665	0.443065	0.726674	0.17388	0.0418084	0.511956	0.0593816	0.162934	0.894647	1.566	0.0917177	0.372903	0.156071	0.200049	0.753687	0.0687808	0.3757057	-0.07761658	0.163595	0.0256968	0.110843	0.0262299	0.0407628	0.0572394	0.00964993	0.00762885	0.148819	0.0128432	0.109974	0.00612213	0.0896939	0.168168	0.0227337	0.5805164	4	11.33079	0.2966154	0.577038	0.844498	1.0782	1.50027	0.149618	0.122225	0.294183	0.0726342	0.277715	0.0836244	0.5028998	1.154338
2600	-392.4596	-340.137	-52.32253	8.910422	5.055958	0.0444156	0.174304	0.250207	0.789004	0.989258	0.905136	0.928545	0.240596	0.151633	0.0278113	0.163206	0.300948	0.25403	0.701999	1.93407	1.11619	0.157648	0.0925114	0.250458	0.164965	0.496408	0.0116004	0.3639949	0.08661678	0.0516877	0.294228	0.0139518	0.00215685	0.0423331	0.0212776	0.0676186	0.00662195	0.0668687	0.174072	0.201245	0.0034298	0.00974327	0.0315739	0.0131919	0.3555028	2	9.703078	0.1525924	0.504385	0.805289	1.0832	1.60712	0.118037	0.2223	0.150553	0.108235	0.172593	0.228282	0.4421195	0.8040874
2700	-388.6751	-338.4066	-50.26841	11.22911	4.732063	0.275886	0.0749681	0.131931	1.41502	2.59262	0.705493	0.0904582	0.404399	0.332107	0.0141438	0.281149	0.288671	0.296114	0.00724103	0.456671	0.00779663	0.0847599	0.217943	0.0404181	1.17746	0.0787965	0.0471836	0.2737454	-0.008826289	0.0893363	0.0417776	0.11835	0.0179013	0.101534	0.109976	0.0151928	0.00896833	0.121468	0.105224	0.12453	0.00743608	0.0446253	0.0864473	0.0072326	0.4128631	3	12.30051	0.1272178	0.490554	0.797244	1.08374	1.62847	0.19581	0.134262	0.153678	0.112193	0.248782	0.155275	0.4040368	1.021845
2800	-387.3219	-337.7372	-49.58471	6.207075	7.332125	0.448711	0.0494887	0.962742	1.02751	1.10454	0.910501	0.772884	0.350841	0.211571	0.000757345	0.346411	1.78168	0.116935	0.117953	0.0704088	0.206645	0.0802921	2.23933	0.805667	0.474526	0.979616	0.337429	0.5668994	-0.03663448	0.0982388	0.101781	0.0281433	0.0333125	0.0110989	0.0208101	0.0246971	0.00332257	0.156321	0.0944121	0.256963	0.0407767	0.00551673	0.0997065	0.0249003	0.4500504	3	7.275169	0.2248784	0.577206	0.844583	1.07818	1.50003	0.147502	0.161996	0.183067	0.107542	0.243297	0.156597	0.413416	1.088614
2900	-397.5433	-339.8858	-57.6575	6.30287	2.837584	0.242079	0.249511	0.151354	3.35082	1.41036	2.20969	0.310497	0.535738	0.173528	0.25437	0.579215	1.79318	0.97403	0.502762	2.72547	0.246631	0.519475	0.000633778	0.352627	2.53101	0.221306	1.73534	0.7764015	0.05871339	0.0519523	0.103359	0.0994291	0.0684071	0.0469875	0.0291052	0.124895	0.0273532	0.140849	0.109779	0.142094	0.00396164	0.0314017	0.0192141	0.00121166	0.3602029	4	9.066873	0.2016215	0.376293	0.72212	1.08159	1.82	0.148929	0.11965	0.2434	0.111378	0.259292	0.11735	0.4189163	0.8598446
