"lek","song.type","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"SAT","SAT-G1","s","s","s","m","m","s","s","s","m","m","s","s","s","s","s","s","s","s","m","m"
"SAT","SAT-G2","s","s","m","m","m","s","s","m","m","m","s","s","m","m","m","s","s","m","m","m"
"SAT","SAT-G3","m","m","f","f","f","m","m","f","f","f","m","m","f","f","f","m","m","f","f","f"
"SAT","SAT-G4","p","s","m","m","m","f","f","f","f","f","p","s","s","m","m","f","f","f","f","f"
"SAT","SAT-H1","p","s","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"SJA","SJA-A1","p","p","f","f","f","f","f","f","f","f","p","p","u","f","f","f","f","p","p","f"
"SJA","SJA-B1","p","p","m","f","f","f","f","p","p","p","p","p","m","m","f","f","f","p","p","p"
"SJA","SJA-C1","p","p","m","m","m","m","m","m","m","m","p","p","m","m","m","m","m","m","u","d"
"SJA","SJA-D1","d","m","m","m","m","d","m","m","m","m","d","m","m","m","m","d","m","m","m","m"
"SJA","SJA-D2","m","m","m","f","m","m","f","m","m","f","m","m","f","p","m","m","f","m","m","f"
"SJA","SJA-D3","m","m","m","f","f","m","f","m","m","m","m","m","m","m","m","m","m","m","m","m"
"SJA","SJA-D4","m","m","m","m","m","f","f","m","m","m","p","m","m","p","m","m","m","m","m","m"
"SJA","SJA-E1","p","m","m","m","m","p","m","m","m","m","p","m","m","m","m","p","m","m","m","m"
"SJA","SJA-F1","m","f","f","u","f","f","d","m","m","m","m","m","m","m","m","m","m","m","m","m"
"SJA","SJA-F2","m","f","f","m","f","f","m","m","f","d","m","f","f","m","f","f","d","m","f","d"
"SJA","SJA-F3","u","m","f","f","f","f","f","f","f","f","u","f","f","f","f","f","f","f","f","d"
"SJA","SJA-F4","u","m","m","f","f","f","f","d","u","d","u","p","m","f","f","f","f","d","m","p"
"SJA","SJA-F5","u","d","s","m","m","m","m","m","m","d","p","d","s","m","m","m","m","m","m","d"
"STR","STR-A1","s","s","m","m","m","s","s","m","m","m","s","s","m","m","m","s","s","m","m","m"
"STR","STR-A2","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m"
"STR","STR-A3","p","m","m","f","f","f","f","f","f","f","p","m","m","m","f","f","f","f","f","f"
"SUR","SUR-A1","p","u","u","f","f","f","f","f","f","f","p","u","u","f","f","f","f","f","f","f"
"SUR","SUR-A2","p","u","u","f","f","f","f","f","p","f","d","u","u","f","f","f","f","f","p","d"
"SUR","SUR-A3","d","p","u","p","p","p","p","p","u","p","d","p","u","f","p","p","p","f","p","f"
"SUR","SUR-A4","p","p","s","s","s","p","p","s","s","s","p","p","s","s","s","p","p","s","s","s"
"SUR","SUR-A5","p","p","u","f","f","f","f","f","p","f","d","p","u","f","p","f","f","f","f","p"
"SUR","SUR-B1","u","s","s","s","f","u","s","s","s","f","u","s","s","s","f","u","s","s","s","f"
"SUR","SUR-B3","p","u","u","s","s","s","s","s","s","s","p","p","u","s","s","s","s","s","s","s"
"SUR","SUR-D1","u","u","u","u","f","f","f","f","d","u","u","u","u","u","f","f","f","f","d","p"
"SUR","SUR-D2","p","u","u","f","f","f","f","f","f","f","p","u","u","u","f","f","f","f","f","f"
"SUR","SUR-E1","p","p","p","s","s","s","s","s","s","s","p","p","p","s","s","s","s","s","s","s"
"SUR","SUR-E2","p","p","s","s","f","p","p","s","s","f","p","p","s","s","f","p","p","s","s","f"
"SUR","SUR-E3","p","p","s","s","s","s","s","p","p","d","p","u","s","s","s","s","s","s","s","d"
"SUR","SUR-E4","u","u","s","s","s","p","s","f","f","f","u","u","p","s","s","p","s","f","f","f"
"SUR","SUR-E5","p","p","p","s","s","s","s","s","s","s","d","p","p","s","s","s","s","s","s","s"
"SUR","SUR-F1","f","f","f","f","f","f","f","f","f","f","p","f","p","f","p","f","f","p","f","f"
"SUR","SUR-F2","u","m","f","u","f","f","f","f","f","f","u","f","f","u","f","f","f","f","f","f"
"SUR","SUR-F3","p","m","f","p","f","f","f","p","f","f","p","f","p","p","f","f","f","f","f","f"
"SUR","SUR-F4","u","f","f","p","f","f","f","f","f","f","p","f","f","p","f","f","f","f","f","f"
"SUR","SUR-F5","u","f","f","u","f","f","f","f","f","f","u","f","f","u","f","f","f","f","f","f"
"SUR","SUR-G1","p","m","m","m","m","p","m","m","m","m","p","m","m","m","m","p","m","m","m","m"
